age,food_item,review,category
29,Samosa,Samosa toh ekdum crisp aur tasty tha.,Non-Vegetarian
32,Paneer Butter Masala,"Delicious and perfectly spiced, loved it!",Dessert
41,Vada Pav,"Perfect lunch, bilkul ghar jaisa.",Lunch
14,Rabri,Samosa toh ekdum crisp aur tasty tha.,Lunch
61,Kadhi Pakora,Khana fresh tha aur taste bhi badhiya.,Street Food
43,Roti Sabzi,Samosa toh ekdum crisp aur tasty tha.,Dessert
35,Butter Chicken,"Thoda teekha tha, but I still liked it.",Chinese
50,Kadhi Pakora,"Thoda teekha tha, but I still liked it.",Dinner
52,Rasgulla,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
16,Biryani,Khana fresh tha aur taste bhi badhiya.,Snacks
49,Rabri,"Thoda teekha tha, but I still liked it.",Dinner
62,Pav Bhaji,Khana fresh tha aur taste bhi badhiya.,Chinese
55,Vada Pav,"Bahut swaadisht tha, ekdum desi maza!",Street Food
39,Chicken Curry,"Yaar, itna tasty tha, maza aa gaya!",Snacks
52,Bhindi Masala,Samosa toh ekdum crisp aur tasty tha.,Vegan
36,Litti Chokha,"Delicious and perfectly spiced, loved it!",Chinese
47,Kulfi,"Bahut swaadisht tha, ekdum desi maza!",Street Food
62,Dal Fry,Khana fresh tha aur taste bhi badhiya.,Snacks
11,Fish Fry,"Bahut swaadisht tha, ekdum desi maza!",Snacks
43,Chicken Curry,"Delicious and perfectly spiced, loved it!",Chinese
32,Lassi,"Delicious and perfectly spiced, loved it!",Non-Vegetarian
41,Kadhi Pakora,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
18,Aloo Tikki,Khana fresh tha aur taste bhi badhiya.,Dessert
69,Tandoori Chicken,Samosa toh ekdum crisp aur tasty tha.,Dinner
39,Fish Curry,"Yaar, itna tasty tha, maza aa gaya!",Chinese
60,Roti Sabzi,"Perfect lunch, bilkul ghar jaisa.",Vegan
63,Dal Makhani,"Great taste, will order again!",Dinner
56,Vegetable Biryani,"Delicious and perfectly spiced, loved it!",Snacks
29,Pani Puri,Khana fresh tha aur taste bhi badhiya.,Snacks
16,Malai Kofta,"The food was amazing, but delivery was late.",Dinner
24,Malai Kofta,"Bahut swaadisht tha, ekdum desi maza!",Snacks
21,Malai Kofta,"Great taste, will order again!",Dinner
33,Vada Pav,"The food was amazing, but delivery was late.",Non-Vegetarian
55,Pav Bhaji,"The food was amazing, but delivery was late.",Breakfast
63,Kofta Curry,"Thoda teekha tha, but I still liked it.",Non-Vegetarian
64,Fish Fry,Samosa toh ekdum crisp aur tasty tha.,Non-Vegetarian
58,Kofta Curry,"Great taste, will order again!",Breakfast
20,Barfi,"Great taste, will order again!",Vegan
63,Biryani,"Perfect lunch, bilkul ghar jaisa.",Dinner
17,Barfi,"Bahut swaadisht tha, ekdum desi maza!",Breakfast
35,Falooda,"Delicious and perfectly spiced, loved it!",Vegetarian
12,Rasgulla,"Delicious and perfectly spiced, loved it!",Non-Vegetarian
17,Aloo Gobi,"Perfect lunch, bilkul ghar jaisa.",Lunch
25,Pav Bhaji,"Delicious and perfectly spiced, loved it!",Snacks
70,Vegetable Pulao,"Bahut swaadisht tha, ekdum desi maza!",Vegan
34,Vegetable Biryani,"Perfect lunch, bilkul ghar jaisa.",Snacks
14,Lassi,Samosa toh ekdum crisp aur tasty tha.,Lunch
36,Lassi,"Yaar, itna tasty tha, maza aa gaya!",Lunch
28,Malai Kofta,Khana fresh tha aur taste bhi badhiya.,Street Food
26,Lassi,"Bahut swaadisht tha, ekdum desi maza!",Snacks
22,Paneer Butter Masala,"Delicious and perfectly spiced, loved it!",Non-Vegetarian
59,Kadhi Pakora,"Great taste, will order again!",Non-Vegetarian
19,Paneer Butter Masala,Khana fresh tha aur taste bhi badhiya.,Street Food
65,Tandoori Roti,"Yaar, itna tasty tha, maza aa gaya!",Vegetarian
47,Fish Curry,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
54,Aloo Gobi,"Delicious and perfectly spiced, loved it!",Dinner
17,Rabri,"Great taste, will order again!",Dinner
17,Dal Fry,Samosa toh ekdum crisp aur tasty tha.,Street Food
38,Chicken Biryani,Khana fresh tha aur taste bhi badhiya.,Lunch
26,Shahi Paneer,"Thoda teekha tha, but I still liked it.",Dinner
24,Barfi,Samosa toh ekdum crisp aur tasty tha.,Dessert
37,Roti Sabzi,Khana fresh tha aur taste bhi badhiya.,Chinese
10,Dal Fry,"The food was amazing, but delivery was late.",Chinese
61,Baingan Bharta,"Delicious and perfectly spiced, loved it!",Chinese
51,Paneer Tikka,Samosa toh ekdum crisp aur tasty tha.,Dinner
54,Jalebi,"Perfect lunch, bilkul ghar jaisa.",Snacks
18,Tandoori Chicken,"Delicious and perfectly spiced, loved it!",Non-Vegetarian
17,Rajma Chawal,Khana fresh tha aur taste bhi badhiya.,Vegetarian
32,Baingan Bharta,"Bahut swaadisht tha, ekdum desi maza!",Vegan
24,Paneer Tikka,"Perfect lunch, bilkul ghar jaisa.",Chinese
42,Vegetable Pulao,"Yaar, itna tasty tha, maza aa gaya!",Dinner
13,Fish Fry,"Yaar, itna tasty tha, maza aa gaya!",Breakfast
32,Shahi Paneer,"The food was amazing, but delivery was late.",Breakfast
20,Kachori,"Thoda teekha tha, but I still liked it.",Dessert
44,Vada Pav,Khana fresh tha aur taste bhi badhiya.,Snacks
64,Pani Puri,"Perfect lunch, bilkul ghar jaisa.",Street Food
26,Kachori,"The food was amazing, but delivery was late.",Lunch
64,Chicken Curry,"Perfect lunch, bilkul ghar jaisa.",Dessert
49,Aloo Tikki,"Delicious and perfectly spiced, loved it!",Chinese
66,Rasgulla,Khana fresh tha aur taste bhi badhiya.,Street Food
18,Vada Pav,"Bahut swaadisht tha, ekdum desi maza!",Street Food
27,Imarti,"Perfect lunch, bilkul ghar jaisa.",Chinese
25,Kachori,"Perfect lunch, bilkul ghar jaisa.",Chinese
28,Vegetable Pulao,"Bahut swaadisht tha, ekdum desi maza!",Chinese
52,Tandoori Roti,"Delicious and perfectly spiced, loved it!",Vegetarian
59,Aloo Tikki,"Great taste, will order again!",Street Food
38,Samosa,"Yaar, itna tasty tha, maza aa gaya!",Vegetarian
67,Chicken Curry,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
18,Aloo Tikki,"Bahut swaadisht tha, ekdum desi maza!",Lunch
47,Rasgulla,"The food was amazing, but delivery was late.",Dinner
20,Aloo Gobi,"Yaar, itna tasty tha, maza aa gaya!",Street Food
47,Rabri,Samosa toh ekdum crisp aur tasty tha.,Dessert
65,Malai Kofta,"Thoda teekha tha, but I still liked it.",Dinner
61,Falooda,Samosa toh ekdum crisp aur tasty tha.,Vegan
22,Paneer Butter Masala,"The food was amazing, but delivery was late.",Dinner
23,Dal Fry,Khana fresh tha aur taste bhi badhiya.,Lunch
62,Tandoori Chicken,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
34,Kachori,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
64,Dal Makhani,"Bahut swaadisht tha, ekdum desi maza!",Breakfast
41,Jalebi,"Thoda teekha tha, but I still liked it.",Lunch
65,Aloo Gobi,"Delicious and perfectly spiced, loved it!",Snacks
69,Pav Bhaji,"The food was amazing, but delivery was late.",Dessert
24,Pav Bhaji,Khana fresh tha aur taste bhi badhiya.,Breakfast
21,Mutton Rogan Josh,"Bahut swaadisht tha, ekdum desi maza!",Dinner
22,Biryani,"Great taste, will order again!",Non-Vegetarian
68,Lassi,"Perfect lunch, bilkul ghar jaisa.",Lunch
29,Imarti,"Delicious and perfectly spiced, loved it!",Non-Vegetarian
37,Butter Chicken,"Delicious and perfectly spiced, loved it!",Vegan
67,Vada Pav,"Delicious and perfectly spiced, loved it!",Dinner
34,Bhindi Masala,"Thoda teekha tha, but I still liked it.",Vegetarian
34,Naan,"The food was amazing, but delivery was late.",Lunch
41,Imarti,Khana fresh tha aur taste bhi badhiya.,Non-Vegetarian
59,Roti Sabzi,"Delicious and perfectly spiced, loved it!",Street Food
69,Tandoori Chicken,"The food was amazing, but delivery was late.",Street Food
60,Gulab Jamun,"Bahut swaadisht tha, ekdum desi maza!",Vegetarian
66,Litti Chokha,"Perfect lunch, bilkul ghar jaisa.",Snacks
29,Baingan Bharta,"Great taste, will order again!",Street Food
68,Vegetable Biryani,"Great taste, will order again!",Non-Vegetarian
51,Butter Chicken,Khana fresh tha aur taste bhi badhiya.,Lunch
13,Chaat,"Delicious and perfectly spiced, loved it!",Vegetarian
26,Chicken Biryani,"Bahut swaadisht tha, ekdum desi maza!",Street Food
65,Rajma Chawal,"Thoda teekha tha, but I still liked it.",Snacks
44,Kulfi,"Delicious and perfectly spiced, loved it!",Chinese
58,Baingan Bharta,Samosa toh ekdum crisp aur tasty tha.,Chinese
38,Biryani,"Thoda teekha tha, but I still liked it.",Vegetarian
22,Paneer Butter Masala,Samosa toh ekdum crisp aur tasty tha.,Dinner
51,Lassi,"Thoda teekha tha, but I still liked it.",Breakfast
21,Butter Chicken,"Bahut swaadisht tha, ekdum desi maza!",Vegetarian
44,Paneer Tikka,"Yaar, itna tasty tha, maza aa gaya!",Chinese
29,Pani Puri,"Delicious and perfectly spiced, loved it!",Snacks
29,Kachori,"Thoda teekha tha, but I still liked it.",Dessert
38,Butter Chicken,Samosa toh ekdum crisp aur tasty tha.,Lunch
30,Rajma Chawal,"Thoda teekha tha, but I still liked it.",Dinner
62,Naan,"Thoda teekha tha, but I still liked it.",Breakfast
43,Aloo Tikki,Samosa toh ekdum crisp aur tasty tha.,Vegetarian
53,Naan,"The food was amazing, but delivery was late.",Vegetarian
32,Kulfi,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
43,Biryani,"Thoda teekha tha, but I still liked it.",Street Food
32,Butter Chicken,"Bahut swaadisht tha, ekdum desi maza!",Lunch
22,Bhindi Masala,"Yaar, itna tasty tha, maza aa gaya!",Dessert
12,Tandoori Roti,"Great taste, will order again!",Chinese
18,Bhindi Masala,Khana fresh tha aur taste bhi badhiya.,Street Food
18,Baingan Bharta,"Perfect lunch, bilkul ghar jaisa.",Street Food
22,Aloo Tikki,"Delicious and perfectly spiced, loved it!",Snacks
51,Pav Bhaji,"Great taste, will order again!",Chinese
64,Dal Fry,"Great taste, will order again!",Vegan
10,Imarti,"Great taste, will order again!",Street Food
26,Kachori,"Thoda teekha tha, but I still liked it.",Dinner
54,Vegetable Pulao,"Yaar, itna tasty tha, maza aa gaya!",Vegan
37,Kachori,Samosa toh ekdum crisp aur tasty tha.,Chinese
54,Baingan Bharta,Khana fresh tha aur taste bhi badhiya.,Vegetarian
55,Rasgulla,"Yaar, itna tasty tha, maza aa gaya!",Lunch
61,Jalebi,"The food was amazing, but delivery was late.",Snacks
26,Imarti,Khana fresh tha aur taste bhi badhiya.,Vegetarian
54,Jalebi,"Delicious and perfectly spiced, loved it!",Dinner
45,Fish Curry,"Perfect lunch, bilkul ghar jaisa.",Chinese
58,Gulab Jamun,"Great taste, will order again!",Dinner
56,Falooda,"Great taste, will order again!",Dinner
25,Paneer Butter Masala,Khana fresh tha aur taste bhi badhiya.,Dessert
31,Gulab Jamun,Khana fresh tha aur taste bhi badhiya.,Snacks
46,Mutton Rogan Josh,"The food was amazing, but delivery was late.",Vegan
10,Butter Chicken,"Yaar, itna tasty tha, maza aa gaya!",Chinese
27,Dal Makhani,"Thoda teekha tha, but I still liked it.",Dinner
67,Rabri,Khana fresh tha aur taste bhi badhiya.,Breakfast
25,Chaat,"Perfect lunch, bilkul ghar jaisa.",Lunch
59,Kadhi Pakora,"Great taste, will order again!",Lunch
31,Malai Kofta,"Thoda teekha tha, but I still liked it.",Vegetarian
56,Butter Chicken,"Delicious and perfectly spiced, loved it!",Lunch
37,Fish Fry,Khana fresh tha aur taste bhi badhiya.,Vegan
22,Vegetable Pulao,Samosa toh ekdum crisp aur tasty tha.,Breakfast
44,Paneer Butter Masala,"Great taste, will order again!",Dinner
18,Paneer Tikka,Khana fresh tha aur taste bhi badhiya.,Vegan
11,Litti Chokha,"Delicious and perfectly spiced, loved it!",Vegetarian
11,Biryani,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
53,Pav Bhaji,"Great taste, will order again!",Snacks
37,Imarti,"Perfect lunch, bilkul ghar jaisa.",Dinner
16,Tandoori Chicken,Samosa toh ekdum crisp aur tasty tha.,Street Food
22,Aloo Gobi,"Thoda teekha tha, but I still liked it.",Street Food
66,Aloo Gobi,"Delicious and perfectly spiced, loved it!",Breakfast
34,Roti Sabzi,Samosa toh ekdum crisp aur tasty tha.,Chinese
13,Jalebi,"Thoda teekha tha, but I still liked it.",Vegetarian
25,Rabri,"The food was amazing, but delivery was late.",Non-Vegetarian
11,Butter Chicken,"Thoda teekha tha, but I still liked it.",Street Food
10,Jalebi,"The food was amazing, but delivery was late.",Non-Vegetarian
21,Vegetable Biryani,"Great taste, will order again!",Chinese
36,Vegetable Pulao,"Yaar, itna tasty tha, maza aa gaya!",Snacks
24,Kachori,Samosa toh ekdum crisp aur tasty tha.,Snacks
17,Sev Puri,"Bahut swaadisht tha, ekdum desi maza!",Street Food
20,Chicken Curry,"The food was amazing, but delivery was late.",Dessert
56,Paneer Butter Masala,"Thoda teekha tha, but I still liked it.",Vegan
50,Shahi Paneer,Khana fresh tha aur taste bhi badhiya.,Chinese
30,Tandoori Roti,Samosa toh ekdum crisp aur tasty tha.,Lunch
11,Jalebi,"Delicious and perfectly spiced, loved it!",Dessert
22,Gulab Jamun,"Great taste, will order again!",Dessert
51,Barfi,"Yaar, itna tasty tha, maza aa gaya!",Chinese
66,Vegetable Pulao,"Great taste, will order again!",Lunch
53,Paneer Tikka,"Thoda teekha tha, but I still liked it.",Vegan
51,Rabri,"Bahut swaadisht tha, ekdum desi maza!",Non-Vegetarian
45,Vada Pav,Khana fresh tha aur taste bhi badhiya.,Snacks
69,Jalebi,"Great taste, will order again!",Vegan
17,Aloo Gobi,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
57,Fish Curry,"Delicious and perfectly spiced, loved it!",Street Food
53,Tandoori Roti,"Thoda teekha tha, but I still liked it.",Breakfast
70,Lassi,"Delicious and perfectly spiced, loved it!",Street Food
10,Kadhi Pakora,Samosa toh ekdum crisp aur tasty tha.,Breakfast
48,Pav Bhaji,"Perfect lunch, bilkul ghar jaisa.",Dessert
61,Chicken Curry,"Yaar, itna tasty tha, maza aa gaya!",Dinner
47,Vegetable Pulao,"The food was amazing, but delivery was late.",Dessert
38,Chicken Curry,"Yaar, itna tasty tha, maza aa gaya!",Dessert
65,Naan,Khana fresh tha aur taste bhi badhiya.,Lunch
45,Fish Curry,"Bahut swaadisht tha, ekdum desi maza!",Dinner
62,Fish Curry,"Yaar, itna tasty tha, maza aa gaya!",Street Food
27,Butter Chicken,"Bahut swaadisht tha, ekdum desi maza!",Vegetarian
49,Chicken Curry,"Perfect lunch, bilkul ghar jaisa.",Street Food
14,Kulfi,"Delicious and perfectly spiced, loved it!",Chinese
41,Butter Chicken,"The food was amazing, but delivery was late.",Breakfast
62,Malai Kofta,"Great taste, will order again!",Dinner
40,Chicken Curry,Khana fresh tha aur taste bhi badhiya.,Chinese
16,Bhindi Masala,"Thoda teekha tha, but I still liked it.",Dinner
18,Paneer Butter Masala,"Perfect lunch, bilkul ghar jaisa.",Vegan
69,Samosa,"Yaar, itna tasty tha, maza aa gaya!",Vegan
10,Rajma Chawal,"Bahut swaadisht tha, ekdum desi maza!",Street Food
15,Naan,"The food was amazing, but delivery was late.",Lunch
42,Mutton Korma,Samosa toh ekdum crisp aur tasty tha.,Non-Vegetarian
48,Shahi Paneer,"The food was amazing, but delivery was late.",Street Food
15,Palak Paneer,"Delicious and perfectly spiced, loved it!",Snacks
28,Lassi,"Perfect lunch, bilkul ghar jaisa.",Breakfast
20,Tandoori Chicken,"Thoda teekha tha, but I still liked it.",Dinner
20,Gulab Jamun,"Delicious and perfectly spiced, loved it!",Chinese
35,Aloo Tikki,"Great taste, will order again!",Dessert
20,Imarti,"Thoda teekha tha, but I still liked it.",Vegan
65,Pav Bhaji,"The food was amazing, but delivery was late.",Lunch
11,Rasgulla,"Delicious and perfectly spiced, loved it!",Chinese
63,Sev Puri,"Perfect lunch, bilkul ghar jaisa.",Lunch
36,Tandoori Roti,"The food was amazing, but delivery was late.",Vegan
50,Butter Chicken,"Great taste, will order again!",Lunch
38,Jalebi,"Bahut swaadisht tha, ekdum desi maza!",Non-Vegetarian
33,Pav Bhaji,"Delicious and perfectly spiced, loved it!",Snacks
25,Butter Chicken,"Thoda teekha tha, but I still liked it.",Non-Vegetarian
11,Paneer Butter Masala,"Bahut swaadisht tha, ekdum desi maza!",Breakfast
20,Butter Chicken,"Perfect lunch, bilkul ghar jaisa.",Dinner
58,Tandoori Chicken,"Great taste, will order again!",Vegan
36,Vada Pav,Khana fresh tha aur taste bhi badhiya.,Breakfast
68,Vegetable Pulao,"Great taste, will order again!",Non-Vegetarian
42,Pav Bhaji,"Bahut swaadisht tha, ekdum desi maza!",Lunch
52,Fish Fry,"Thoda teekha tha, but I still liked it.",Chinese
15,Chicken Biryani,Khana fresh tha aur taste bhi badhiya.,Chinese
24,Gulab Jamun,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
66,Paneer Butter Masala,"Thoda teekha tha, but I still liked it.",Lunch
69,Palak Paneer,"Bahut swaadisht tha, ekdum desi maza!",Lunch
23,Rabri,"The food was amazing, but delivery was late.",Dessert
17,Fish Curry,"Yaar, itna tasty tha, maza aa gaya!",Dessert
64,Vada Pav,"Perfect lunch, bilkul ghar jaisa.",Vegan
36,Vegetable Biryani,"Bahut swaadisht tha, ekdum desi maza!",Lunch
60,Rajma Chawal,"Delicious and perfectly spiced, loved it!",Dessert
43,Vegetable Biryani,"Thoda teekha tha, but I still liked it.",Vegetarian
29,Chaat,"Great taste, will order again!",Lunch
35,Lassi,"The food was amazing, but delivery was late.",Vegan
52,Samosa,"Perfect lunch, bilkul ghar jaisa.",Dessert
45,Paneer Tikka,"Thoda teekha tha, but I still liked it.",Dinner
37,Mutton Rogan Josh,Khana fresh tha aur taste bhi badhiya.,Breakfast
44,Dal Fry,"The food was amazing, but delivery was late.",Lunch
53,Tandoori Chicken,"Thoda teekha tha, but I still liked it.",Snacks
29,Gulab Jamun,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
70,Bhindi Masala,"Bahut swaadisht tha, ekdum desi maza!",Lunch
12,Biryani,Khana fresh tha aur taste bhi badhiya.,Non-Vegetarian
39,Gulab Jamun,"Yaar, itna tasty tha, maza aa gaya!",Vegetarian
28,Gulab Jamun,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
32,Aloo Tikki,"Great taste, will order again!",Lunch
52,Lassi,"Perfect lunch, bilkul ghar jaisa.",Lunch
51,Tandoori Chicken,"Delicious and perfectly spiced, loved it!",Breakfast
14,Tandoori Chicken,Samosa toh ekdum crisp aur tasty tha.,Non-Vegetarian
17,Pav Bhaji,Khana fresh tha aur taste bhi badhiya.,Dessert
64,Dal Makhani,Samosa toh ekdum crisp aur tasty tha.,Dinner
44,Rasgulla,Khana fresh tha aur taste bhi badhiya.,Vegan
49,Lassi,Samosa toh ekdum crisp aur tasty tha.,Dinner
66,Shahi Paneer,"Delicious and perfectly spiced, loved it!",Lunch
69,Kulfi,Khana fresh tha aur taste bhi badhiya.,Dessert
52,Kadhi Pakora,"Thoda teekha tha, but I still liked it.",Snacks
41,Biryani,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
42,Sev Puri,"Great taste, will order again!",Non-Vegetarian
34,Kachori,"Great taste, will order again!",Dinner
21,Jalebi,"Great taste, will order again!",Vegan
44,Fish Curry,"Perfect lunch, bilkul ghar jaisa.",Snacks
24,Aloo Tikki,"Bahut swaadisht tha, ekdum desi maza!",Breakfast
36,Bhindi Masala,Khana fresh tha aur taste bhi badhiya.,Vegan
41,Samosa,"Great taste, will order again!",Dessert
36,Butter Chicken,"Yaar, itna tasty tha, maza aa gaya!",Vegetarian
30,Vada Pav,Khana fresh tha aur taste bhi badhiya.,Vegan
14,Naan,Samosa toh ekdum crisp aur tasty tha.,Dessert
26,Rasgulla,"The food was amazing, but delivery was late.",Vegetarian
55,Dal Makhani,"Great taste, will order again!",Dessert
13,Mutton Korma,Samosa toh ekdum crisp aur tasty tha.,Chinese
60,Jalebi,"Delicious and perfectly spiced, loved it!",Dinner
24,Jalebi,"The food was amazing, but delivery was late.",Vegan
45,Aloo Tikki,"Perfect lunch, bilkul ghar jaisa.",Dessert
26,Lassi,Khana fresh tha aur taste bhi badhiya.,Street Food
64,Kachori,"Great taste, will order again!",Chinese
51,Rajma Chawal,"Bahut swaadisht tha, ekdum desi maza!",Lunch
22,Naan,"Perfect lunch, bilkul ghar jaisa.",Snacks
40,Mutton Korma,"The food was amazing, but delivery was late.",Chinese
24,Palak Paneer,"Yaar, itna tasty tha, maza aa gaya!",Vegan
23,Chicken Curry,"Great taste, will order again!",Chinese
69,Palak Paneer,"Great taste, will order again!",Breakfast
23,Biryani,Samosa toh ekdum crisp aur tasty tha.,Dessert
14,Kulfi,"Perfect lunch, bilkul ghar jaisa.",Street Food
29,Biryani,"Thoda teekha tha, but I still liked it.",Lunch
57,Palak Paneer,Samosa toh ekdum crisp aur tasty tha.,Vegan
16,Mutton Rogan Josh,Samosa toh ekdum crisp aur tasty tha.,Vegan
33,Samosa,"Delicious and perfectly spiced, loved it!",Lunch
55,Kulfi,Samosa toh ekdum crisp aur tasty tha.,Street Food
52,Imarti,"Great taste, will order again!",Vegetarian
46,Fish Fry,"Delicious and perfectly spiced, loved it!",Dinner
32,Malai Kofta,"Yaar, itna tasty tha, maza aa gaya!",Chinese
11,Barfi,"Delicious and perfectly spiced, loved it!",Breakfast
31,Rajma Chawal,"The food was amazing, but delivery was late.",Dessert
66,Jalebi,"Yaar, itna tasty tha, maza aa gaya!",Chinese
60,Jalebi,Samosa toh ekdum crisp aur tasty tha.,Street Food
14,Gulab Jamun,"Bahut swaadisht tha, ekdum desi maza!",Non-Vegetarian
51,Jalebi,"Great taste, will order again!",Vegan
38,Kofta Curry,"Yaar, itna tasty tha, maza aa gaya!",Lunch
29,Vegetable Pulao,"Great taste, will order again!",Breakfast
28,Barfi,"Yaar, itna tasty tha, maza aa gaya!",Vegan
11,Fish Fry,Khana fresh tha aur taste bhi badhiya.,Chinese
24,Chaat,"Delicious and perfectly spiced, loved it!",Street Food
51,Biryani,"Perfect lunch, bilkul ghar jaisa.",Chinese
45,Palak Paneer,Khana fresh tha aur taste bhi badhiya.,Dinner
14,Rajma Chawal,"Bahut swaadisht tha, ekdum desi maza!",Lunch
13,Paneer Butter Masala,Samosa toh ekdum crisp aur tasty tha.,Dinner
69,Palak Paneer,"Perfect lunch, bilkul ghar jaisa.",Lunch
17,Tandoori Chicken,"Thoda teekha tha, but I still liked it.",Breakfast
21,Kadhi Pakora,"The food was amazing, but delivery was late.",Dessert
59,Chicken Curry,"Bahut swaadisht tha, ekdum desi maza!",Vegan
34,Kulfi,Khana fresh tha aur taste bhi badhiya.,Dinner
29,Biryani,"Bahut swaadisht tha, ekdum desi maza!",Lunch
50,Vada Pav,"Great taste, will order again!",Snacks
50,Mutton Korma,Khana fresh tha aur taste bhi badhiya.,Snacks
30,Butter Chicken,"Perfect lunch, bilkul ghar jaisa.",Dessert
53,Fish Fry,"Great taste, will order again!",Vegetarian
24,Jalebi,Khana fresh tha aur taste bhi badhiya.,Vegan
21,Paneer Butter Masala,"Perfect lunch, bilkul ghar jaisa.",Vegan
39,Pani Puri,"Thoda teekha tha, but I still liked it.",Lunch
15,Dal Makhani,"Great taste, will order again!",Snacks
45,Paneer Tikka,"Bahut swaadisht tha, ekdum desi maza!",Snacks
56,Paneer Tikka,"Perfect lunch, bilkul ghar jaisa.",Snacks
35,Chicken Curry,Samosa toh ekdum crisp aur tasty tha.,Lunch
68,Fish Curry,"Great taste, will order again!",Snacks
33,Palak Paneer,Khana fresh tha aur taste bhi badhiya.,Breakfast
18,Paneer Butter Masala,"The food was amazing, but delivery was late.",Vegetarian
28,Palak Paneer,"Perfect lunch, bilkul ghar jaisa.",Dinner
66,Mutton Korma,"Thoda teekha tha, but I still liked it.",Street Food
34,Mutton Rogan Josh,"The food was amazing, but delivery was late.",Snacks
60,Dal Fry,"Bahut swaadisht tha, ekdum desi maza!",Vegetarian
17,Dal Fry,Khana fresh tha aur taste bhi badhiya.,Street Food
34,Rasgulla,"Thoda teekha tha, but I still liked it.",Non-Vegetarian
25,Vada Pav,"Thoda teekha tha, but I still liked it.",Vegan
58,Biryani,"Yaar, itna tasty tha, maza aa gaya!",Vegetarian
40,Vegetable Biryani,"Great taste, will order again!",Dessert
62,Fish Curry,"Delicious and perfectly spiced, loved it!",Lunch
41,Kofta Curry,"Bahut swaadisht tha, ekdum desi maza!",Chinese
18,Mutton Korma,"Thoda teekha tha, but I still liked it.",Snacks
24,Aloo Tikki,"Yaar, itna tasty tha, maza aa gaya!",Lunch
49,Roti Sabzi,"Yaar, itna tasty tha, maza aa gaya!",Breakfast
65,Imarti,"The food was amazing, but delivery was late.",Non-Vegetarian
29,Aloo Gobi,Khana fresh tha aur taste bhi badhiya.,Snacks
59,Kachori,"Delicious and perfectly spiced, loved it!",Snacks
29,Biryani,"Great taste, will order again!",Snacks
13,Butter Chicken,"Perfect lunch, bilkul ghar jaisa.",Street Food
19,Tandoori Chicken,"Yaar, itna tasty tha, maza aa gaya!",Lunch
58,Litti Chokha,"Thoda teekha tha, but I still liked it.",Snacks
69,Dal Fry,"Yaar, itna tasty tha, maza aa gaya!",Dessert
62,Aloo Tikki,Khana fresh tha aur taste bhi badhiya.,Vegetarian
24,Chaat,"Bahut swaadisht tha, ekdum desi maza!",Lunch
68,Imarti,"Delicious and perfectly spiced, loved it!",Lunch
36,Butter Chicken,"Perfect lunch, bilkul ghar jaisa.",Breakfast
10,Kulfi,"Delicious and perfectly spiced, loved it!",Breakfast
35,Kachori,"The food was amazing, but delivery was late.",Lunch
41,Falooda,Samosa toh ekdum crisp aur tasty tha.,Snacks
36,Chicken Curry,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
31,Roti Sabzi,"The food was amazing, but delivery was late.",Dessert
36,Biryani,"Yaar, itna tasty tha, maza aa gaya!",Dinner
40,Vada Pav,"Bahut swaadisht tha, ekdum desi maza!",Chinese
55,Mutton Korma,"Yaar, itna tasty tha, maza aa gaya!",Dessert
32,Rasgulla,"Delicious and perfectly spiced, loved it!",Vegetarian
57,Fish Curry,"Yaar, itna tasty tha, maza aa gaya!",Dinner
18,Jalebi,"Bahut swaadisht tha, ekdum desi maza!",Non-Vegetarian
18,Fish Curry,"Delicious and perfectly spiced, loved it!",Snacks
52,Chicken Biryani,"Thoda teekha tha, but I still liked it.",Chinese
14,Vegetable Pulao,"The food was amazing, but delivery was late.",Lunch
31,Kadhi Pakora,"Bahut swaadisht tha, ekdum desi maza!",Snacks
36,Vegetable Biryani,"Perfect lunch, bilkul ghar jaisa.",Chinese
12,Pani Puri,Samosa toh ekdum crisp aur tasty tha.,Lunch
63,Mutton Korma,"Great taste, will order again!",Breakfast
36,Vegetable Pulao,"Great taste, will order again!",Dinner
65,Aloo Gobi,"Great taste, will order again!",Lunch
33,Pav Bhaji,"Yaar, itna tasty tha, maza aa gaya!",Chinese
64,Jalebi,"Bahut swaadisht tha, ekdum desi maza!",Breakfast
45,Barfi,"Delicious and perfectly spiced, loved it!",Street Food
26,Kulfi,"Thoda teekha tha, but I still liked it.",Street Food
66,Pani Puri,Samosa toh ekdum crisp aur tasty tha.,Non-Vegetarian
27,Kadhi Pakora,Khana fresh tha aur taste bhi badhiya.,Lunch
